"고유번호","언어","상호명","주소","신주소","전화번호","팩스번호","웹사이트","운영시간","운영요일","휴무일","교통정보","태그","장애인편의시설"
"74","ja","キョンボックン(景福宮)","110-820 ソウル市鐘路区世宗路 1-1 景福宮","03045 ソウル市チョンノ(鐘路)区サジクロ161(世宗路、景福宮) ","+82-2-3700-3900","+82-2-3700-3909","http://www.royalpalace.go.kr:8080/html/eng_gbg/main/main.jsp","1月~2月:9:00-17:00(入場締め切り16:00) 3月~5月:9:00-18:00(入場締め切り17:00) 6月~8月:9:00-18:30(入場締め切り17:30) 9月~10月:9:00-18:00(入場締め切り17:00) 11月~12月:9:00-17:00(入場締め切り16:00) ※機関の都合により観覧時間短縮及び調整がある場合があります。","","火曜日","地下鉄3号線「キョンボックン(ソウル政府庁舎)」駅5番出口から徒歩5分 地下鉄5号線「クァンファムン」駅2番出口から徒歩10分","ソウルデートソウル宮殿ソウル名所韓国歴史的名所韓国文化景福宮入場料ソウル見どころ景福宮ソウル観光地ソウル外出ソウル見どころ韓国伝統ソウル旅行","アクセシビリティバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"1902","ja","クァンファムン(光化門)広場","110-820 ソウル市鐘路区世宗路 1-68","110-820 ソウル市チョンノ(鐘路)区セジョンデロ172 (世宗路)","+82-2-120","","http://plaza.seoul.go.kr/gwanghwamun","","","","地下鉄3号線「キョンボックン(政府ソウル庁舎)」駅6・7番出口外換銀行方面 地下鉄5号線「クァンファムン」駅1・2・8番出口 地下鉄1号線「シチョン」駅3番出口からトクスグン(徳寿宮)前を通りコリアナホテル方面  ","チョンゲチョン光化門広場世宗大王広場世宗文化会館歴史李舜臣清渓川都市文化広場景福宮クァンファムン","アクセシビリティバリアフリートイレ"
"32867","ja","ソウルウリソリ(民謡)博物館"," 서울 종로구 와룡동 5-9 ","03131 ソウル特別市チョンノ(鐘路)区ユルゴクロ96 ","+82-2-742-2600","","http://gomuseum.seoul.go.kr/sekm/index","利用可能時間 09:00~19:00 ","","休館日は毎週月曜日、元旦、旧正月・秋夕(旧暦8月15日)当日","3号線アングク駅4番出口 1・3・5号線チョンノサムガ駅6番出口","韓国の歌博物館チャンドッグン(昌徳宮)民謡博物館都市ソウルイクソンドン(益善洞)国楽","アクセシビリティエレベーターバリアフリートイレ"
"101","ja","ソウルハニャン(漢陽)都城","110-126 ソウル市鍾路区鐘路6街 70-6","03098 ソウル市チョンノ(鐘路)区ユルゴクロ283 (鐘路6街)","+82-2-120","","http://seoulcitywall.seoul.go.kr/front/jp/index.do","","","","地下鉄3号線「アングク」駅2番出口からマウルバス02番に乗り換え、ワリョン(臥龍)公園で下車徒歩10分 地下鉄4号線「フェヒョン」駅1番出口からマウルバス08番[종로08]に乗り換え、ワリョン(臥龍)3街で下車徒歩30分","漢陽都城ソウル漢陽都城仁王山4小門東大門城郭駱山城壁ソウル観光歴史遺跡地・文化財北岳山南山4大門","バリアフリートイレ体の不自由な方のための専用駐車場"
"10235","ja","ソウル図書館(旧ソウル市庁舎)"," ソウル市中区太平路1街 31ソウル市庁"," ソウル市チュン(中)区セジョンデロ110 (太平路1街)ソウル市庁","+82-2-2133-0300","","https://lib.seoul.go.kr/","火~金 09:00~21:00 土日 09:00~18:00","","月曜日および祝祭日","地下鉄1号線/2号線「シチョン」駅5番出口 地下鉄2号線「ウルチロイプク」駅1番出口","ソウル図書館市庁図書館図書館市庁ランドマーク旧ソウル市庁舎歴史","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための案内所(車椅子レンタルなど)"
"1564","ja","ソウル市立美術館(西小門本館)","100-813 ソウル市中区西小門洞37 ","04515 ソウル市チュン(中)区トッスグンギル61 (西小門洞)","+82-2-2124-8800","","http://sema.seoul.go.kr/global/jindex.jsp?x=18&y=12","[3～10月]火～金曜日10:00-20:00 (土･日曜日および祝祭日は19時まで)  [11～2月]火～金曜日10:00-20:00 (土･日曜日および祝祭日は18時まで)  ※入場は閉館の1時間前まで  ※文化のある日 - 西小門本館、北ソウル美術館:最後の週の水曜日は、10:00~22:00まで開館","","月曜日、1月1日 ","地下鉄2号線「シチョン」駅10番出口    地下鉄5号線「ソデムン」駅6番出口    ","貞洞ソウル美術ソウル美術館ソウル市立美術館市庁韓国美術美術館芸術・アート","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"2724","ja","ソウル歴史博物館","110-062 ソウル市鐘路区新門路2街 2-1","03177 ソウル市チョンノ(鐘路)区セムナンロ55 (新門路2街)","+82-2-724-0274","","http://www.museum.seoul.kr","平日 9:00～20:00 土・日曜・祝日 9:00～19:00 (11～2月／9:00～18:00)","","月曜日、1月1日","地下鉄5号線「クァンファムン」駅7番出口徒歩7分 地下鉄5号線「ソデムン」駅4番出口徒歩8分 地下鉄3号線「キョンボックン(政府ソウル庁舎)」駅7番出口徒歩10分  ","博物館ソウル歴史博物館歴史慶熙宮博物館・記念館展示企画展常設展","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"1415","ja","ソンジョンヌン(宣靖陵)","135-090 ソウル市江南区三成洞 135-4","135-090 ソウル市カンナム(江南)区ソンルンロ100ギル1 (三成洞)","+82-2-568-1291","+82-2-568-0773","http://royaltombs.cha.go.kr/html/HtmlPage.do?pg=/new/html/portal_01_08_01.jsp&mn=RT_01_08","3月~10月 6:00-21:00 11月~1月 6:30-17:30 2月 6:00-18:00 ※ 入場は閉園1時間前まで可能 ※ 20:00以降の入場不可。夜間は照明のあるエリアのみ観覧可能","火曜日~日曜日","月曜日","地下鉄2号線/プンダン線「ソンルン」駅10番出口 地下鉄9号線/プンダン線「ソンジョンヌン」駅3番出口","靖陵ソウル公園公園デート文化遺産宣靖陵宣靖デート世界文化遺産ソウルの見どころソウル歴史的名所ソウルデート場所おすすめソンルン駅都市の中のユネスコ宣陵","アクセシビリティバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"37220","ja","チャンギョングン(昌徳宮)大温室"," ソウル市チョンノ(鍾路)区ワリョンドン(臥竜洞)2-1 ","03072 ソウル市チョンノ(鍾路)区チャンギョングンロ185 ワリョンドン(臥竜洞)チャンドックン(昌徳宮)","+82-2-762-4868~9","+82-2-762-9514","http://cgg.cha.go.kr/agapp/main/index.do?siteCd=CGG","9:00~18:00","火曜日~日曜日","毎週月曜日","地下鉄4号線「へファ」駅4番出口から700m","ソウルの名所昌徳宮チャンギョングンチャンギョングンデートチャンギョングン大温室チャンギョングンフォトスポット","体の不自由な方のための案内所(車椅子レンタルなど)"
"299","ja","チャンギョングン(昌慶宮)","110-360 ソウル市鍾路区臥竜洞 2-1","03072 ソウル市チョンノ(鐘路)区チャンギョングンロ185(ワリョン洞、チャンギョングン(昌慶宮) ","+82-2-762-4868","","http://jpn.cha.go.kr/public/html/HtmlPage.do?pg=/jpn/02/palace04_introduce.jsp&pageNo=2240000&siteCd=JPN","9:00-21:00(入場締切 20:00) ","火曜日~日曜日","月曜日","地下鉄4号線「ヘファ」駅4番出口から徒歩15分","昌慶宮夜の散歩デートコース夜間デート宮廷夜行ソウル見どころ韓国歴史的名所ソウル旅行コース韓国伝統文化ソウル夜景宮廷伝統韓国宮廷ソウル行ってみる価値のある場所","バリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"302","ja","チャンドックン(昌徳宮)","110-360 ソウル市鐘路区臥龍洞2-71 ","03072 ソウル市チョンノ(鐘路)区ユルゴクロ99(臥龍洞、昌徳宮) ","+82-2-762-8261","+82-2-762-2070","http://www.cdg.go.kr","2-5月 9:00~18:00(入場締め切りは17:00) 6~8月 9:00-18:30(入場締め切りは17:30) 9-~10月 9:00-18:00(入場締め切りは17:00) 11~1月 9:00-17:30(入場締め切りは16:30) ","火曜日~日曜日","月曜日","地下鉄5号線「チョンノサムガ」駅6番出口徒歩10分 地下鉄3号線「アングク」駅3番出口徒歩5分 ","ソウルソウル韓服ツアーソウル旅行コース世界遺産ソウルデートコースソウルの必須旅行地韓国文化韓国旅行コース韓国の伝統ソウルが見どころソウル名所昌徳宮故宮ツアー","バリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"2590","ja","チョゲサ(曹渓寺)","110-170 ソウル市鍾路区堅志洞 45","110-170 ソウル市チョンノ(鐘路)区ウジョングクロ55 (堅志洞)","+82-2-768-8600","+82-2-720-1391","http://www.jogyesa.kr/user/japan/","法会、祈祷、供養など日によって異なる。","","","地下鉄3号線「アングク」駅6番出口から徒歩10分 地下鉄5号線「クァンファムン」駅2番出口から徒歩15分 地下鉄1号線「チョンガク」駅2番出口から徒歩10分","歴史曹渓寺遺跡地・文化財寺仏教鐘路テンプルステイ","アクセシビリティ"
"1449","ja","チョンドン(貞洞)劇場 ","100-120 ソウル市中区貞洞 8‐11","04518 ソウル市チュン(中)区チョンドンギル43 (貞洞)","+82-2-751-1500","+82-2-751-1588","https://www.jeongdong.or.kr/portal/main/main.do","各公演によりスケジュールが異なります。 9:00～18:00","","月曜日","地下鉄5号線「ソデムン」駅5番出口から徒歩10分 地下鉄1号線「シチョン」駅1番、2番、12番出口から徒歩5～10分 地下鉄5号線「クァンファムン」駅6番出口","芸術・アート貞洞劇場公演会場","アクセシビリティバリアフリートイレ体の不自由な方のための専用駐車場"
"828","ja","チョンミョ(宗廟)","110-400 ソウル特別市鍾路区薫井洞1-2 ","03135 ソウル市チョンノ(鐘路)区チョンロ157 (薫井洞)","+82-2-765-0195","","http://jm.cha.go.kr/agapp/main/index.do?siteCd=JM","[2月~5月、9月~10月] 9:00-18:00(入場は17:00まで) [6月~8月] 9:00-18:30(入場は17:30まで) [11月~1月] 09:00~17:30(入場は16:30まで) ※ウェブサイトをご参照ください","","火曜日","地下鉄1号線/3号線/5号線「チョンノサムガ」駅8番、11番出口から徒歩5分","昌徳宮昌慶宮宗廟祭礼楽チョンミョ宗廟祭礼鐘路3街宗廟王家の霊廟光化門遺跡地・文化財ユネスコ世界文化遺産歴史重要無形文化財","アクセシビリティバリアフリートイレ体の不自由な方のための案内所(車椅子レンタルなど)"
"2048","ja","トクスグン(徳寿宮)","100-120 ソウル市中区貞洞 5-1","100-120 ソウル市チュン(中)区セジョンデロ99 (貞洞)","+82-2-771-9951","+82-2-771-9953","http://www.deoksugung.go.kr/","9:00-20:00(出札及び入場時間) 21:00(退場時間)","火曜日~日曜日","月曜日","地下鉄2号線「シチョン」駅12番出口徒歩5分 地下鉄1号線「シチョン」駅2番出口徒歩5分 ","徳寿宮ツアー高宗の道ソウルの夜景ソウル外出徳寿宮貞洞道韓国の伝統韓国旅行地ソウル歩きやすい道宮廷ツアー貞洞石垣道徳寿宮夜間ソウル韓国宮韓国の歴史宮","バリアフリートイレ体の不自由な方のための案内所(車椅子レンタルなど)"
"1791","ja","トサン(島山)公園","135-120 ソウル市江南区新沙洞 649-9","135-120 ソウル市カンナム(江南)区トサンデロ45ギル20 (新沙洞)","+82-2-3423-6245","","","公園24時間、トサン(島山)記念館毎日 10:00~17:00","","年中無休 (トサン(島山)記念館は日曜日、旧正月と秋夕(旧盆)の各連休、聖誕祭)","地下鉄3号線「アックジョン」駅2番、3番出口から徒歩10分","歴史アプクジョン江南狎鴎亭展示公園島山公園","アクセシビリティバリアフリートイレ"
"75","ja","ナムサン(南山)ソウルタワー","140-022 ソウル市龍山区龍山洞2街 山1-3","04340 ソウル市ヨンサン(龍山)区ナムサンゴンウォンギル105 (龍山洞2街)","+82-2-3455-9277","","http://www.seoultower.co.kr/jp","平日 12:00-21:00 週末及び祝日11:00-21:00   ※ 終了時間30前まで入場可能 ※ レストランの運営時間は店舗により異なります。ウェブサイトでご確認ください。","年中無休","なし","地下鉄6号線「イテウォン」駅4番出口から03番バスに乗りナムサン(南山)ソウルタワー下車    地下鉄3号線「トンデイック」駅6番出口から02番バスに乗りナムサン(南山)ソウルタワー下車    地下鉄3号線「チュンムロ」駅2番出口から02番バスに乗りナムサン(南山)ソウルタワー下車    ","南山ソウルタワーナムサンソウルタワー南山Nソウルタワーランドマークケーブルカーソウル夜景展望台","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための案内所(車椅子レンタルなど)"
"11611","ja","ハンソンベクチェ(漢城百済)博物館","138-050 ソウル市松坡区方荑洞 88-20 漢城百済博物館","138-050 ソウル市ソンパ(松坡)区ウィレソンデロ71 (方荑洞)ハンソンベクチェ(漢城百済)博物館","+82-2-2152-5900～7","+82-2-2152-5908","","平日／9:00～21:00、週末･祝日／9:00～19:00","","月曜日および1月1日","地下鉄8号線「モンチョントソン」駅1番出口から右手(南2門方面)に650m進んだ先に位置 地下鉄5号線(馬川方面)「オリンピックゴンウォン(韓国体大)」駅3番出口から南2門方面に1km進んだ先に位置  ","博物館高句麗漢城蚕室ハンソンベクチェ博物館百済漢城百済博物館オリンピック公園新羅4D映像体験文化財","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"23771","ja","ホ・ジュン(許浚)博物館","157-202 ソウル市江西区加陽洞26-5 ","07525 ソウル市江西区加陽洞 (加陽洞)","+82-2-3661-8686","+82-2-3661-8639","http://www.heojun.seoul.kr/museum/japanese","平日 3月～10月／10:00-18:00、11月～2月／10:00-17:00 土曜日・日曜日・祝日 10:00-17:00 ※ 入場は閉館1時間前まで","","月曜日、1月1日、旧正月及び秋夕(旧暦8月15日)当日","地下鉄9号線「カヤン」駅1番出口徒歩10分 地下鉄5号線「パルサン」駅3番出口より6657番、1002番バスに乗り換え「コンジン中学校、ホジュン博物館」で下車 ","体験館韓方漢方展示許浚歴史博物館ホ・ジュン許浚博物館韓医学博物館","体の不自由な方のための案内所(車椅子レンタルなど)"
"780","ja","ポンウンサ(奉恩寺)","135-870 ソウル市江南区三成洞 73","06087 ソウル市カンナムグ(江南区)ポンウンサロ531  (三成洞)","+82-2-3218-4800","+82-2-544-2141","http://www.bongeunsa.org ","日によって異なる","","","地下鉄7号線「チョンダム」駅2番出口からキョンギコ(京畿高)方向へ150m 地下鉄2号線「サムソン(三成)」駅6番出口からASEMタワーの方向へ約100m","仏教COEX遺跡地・文化財テンプルステイ奉恩寺コエックス燃灯行列寺ソウル寺院","バリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"11473","ja","ミョンドン(明洞)観光情報センター"," ソウル市中区乙支路2街 181 外換銀行本店別館1階"," ソウル市チュン(中)区ウルチロ66 (乙支路2街)","+82-2-778-0333","","http://www.facebook.com/MyeongdongTouristInformationCenter","ミョンドン(明洞)観光情報センター / ギフトショップ 09:00～18:00","","旧正月および秋夕(旧暦8月15日)当日 毎週日曜日","地下鉄2号線「ウルチロイプク」駅 5番、6番出口","観光案内観光案内情報センター明洞ランドマーク","アクセシビリティ"
"4038","ja","ミョンドン・ソンダン(明洞聖堂)","100-022 ソウル市中区明洞2街 1-1","100-022 ソウル市チュン(中)区ミョンドンギル74 (明洞2街)","+82-2-774-1784","","http://www.mdsd.or.kr","","","日曜日","地下鉄4号線「ミョンドン」駅9番出口から徒歩10分 地下2号線「ウルチロイプク」駅5番出口から徒歩15～20分 地下2号線「ウルチロサムガ」駅12番出口から徒歩10分","明洞主教座聖堂歴史ソウル宗教施設ソウル聖堂ゴシック明洞聖堂遺跡地・文化財キリスト教","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための専用駐車場"
"11662","zh-TW","國立現代美術館(首爾館)","110-200 首爾市鍾路區昭格洞165 ","03062 首爾市鍾路區三清路30   ","","","http://www.mmca.go.kr/","10:00~18:00(週三、週六延長開放至21:00)","週一~週日","元旦、春節與中秋節","3號線安國站1號出口","光化門景福宮北村韓屋村景福宮站安國站國立現代美術館三清洞歷史文化美術館","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"22429","ja","モンチョン(夢村)歴史館","138-749 ソウル市松坡区芳荑洞 88-3","05540 ソウル市ソンパ(松坡)区オリンピックロ424 (芳荑洞)","+82-2-2152-5900","+82-2-424-4205","http://baekjemuseum.seoul.go.kr/dreamvillage/","9:00-18:00 ","","月曜日、1月1日","地下鉄5号線「オリンピックゴンウォン(韓国体大)」駅3番出口    地下鉄8号線「モンチョントソン」駅1番出口 ","歴史文化体験遺跡歴史夢村土城風納土城夢村歴史館博物館展示百済百済時代オリンピック公園","アクセシビリティバリアフリートイレ"
"1165","ja","ヤンファジン(楊花津)外国人宣教師墓地","121-883 ソウル市麻浦区合井洞 144","04084 ソウル市マポ(麻浦)区ヤンファジンギル46 (合井洞)","+82-2-332-9174","+82-02-332-9175","http://www.yanghwajin.net/v2/index.html","10:00～17:00 ","","日曜日、1月1日、旧正月及び秋夕(旧暦8月15日)連休、クリスマス","地下鉄2号線/6号線「ハプチョン」駅7番出口から徒歩10分","ソウル記念館ハプジョン駅弘大楊花津外国人宣教師墓地歴史合井駅遺跡地・文化財","アクセシビリティバリアフリートイレ体の不自由な方のための専用駐車場"
"21384","ja","ロッテワールドタワー","138-240 ソウル市松坡区新川洞 29","05551 ソウル市ソンパ(松坡)区オリンピックロ300 (新川洞)","+82-2-3213-5000","","https://www.lwt.co.kr/jp/main/main.do","施設によって異なる (ウェブサイト参照)","","年中無休","地下鉄2号線｢チャムシル｣駅2番出口徒歩5分 地下鉄8号線｢チャムシル｣駅11番出口徒歩5分","アクアリウムソウルスカイ免税店ロッテワールドモール展望台123階蚕室ショッピングモールロッテワールドタワー","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"5468","ja","世宗・忠武公ストーリー","110-050 ソウル市鐘路区世宗路 81-3 世宗文化会館 地下2階","110-050 ソウル市チョンノ(鐘路)区セジョンデロ175 (世宗路)世宗文化会館地下2階世宗ストーリー","+82-2-399-1000","","http://www.sejongstory.or.kr","10:30-18:30(入場は18:00まで)","","月曜日(祝祭日が月曜日と重なった場合は開館、翌日の平日は休館)","地下鉄1号線｢チョンガク｣駅1番出口    地下鉄5号線｢クァンファムン｣駅2番出口    地下鉄3号線｢キョンボックン(政府ソウル庁舎)｣駅6番出口","光化門世宗物語・忠武公物語博物館・記念館光化門広場歴史李舜臣世宗・忠武公ストーリー忠武公物語世宗物語世宗大王ソウル観光","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための案内所(車椅子レンタルなど)"
"5465","zh-TW","世宗故事 ‧ 忠武公故事館","110-050 首爾市鐘路區世宗路81-3 世宗文化會館B2樓","110-050 首爾市鍾路區世宗大路175 ","+82-2-399-1000","","http://www.sejongstory.or.kr/ch/main.asp","10:30~18:30 (最後入場時間18:00)","週二~週日","週一(若遇韓國國定假日，則照常開館，並於隔日之平日公休)","3號線景福宮站6號出口光化門方向步行200公尺 5號線光化門站2號出口光化門方向步行30公尺","李舜臣鐘閣站紀念館光化門站世宗文化會館文化歷史世宗大王世宗故事忠武公故事館博物館景福宮站","殘疾人士服務台(租借輪椅等)無障礙坡道無障礙廁所電梯"
"5466","zh-CN","世宗故事• 忠武公故事","110-050 首尔市钟路区世宗路 81-3 世宗文化会馆 B2","110-050 首尔特别市钟路区世宗路81-3号世宗文化会馆地下2层（世宗大道175号世宗故事） ","+82-2-399-1000","","http://yisunshinstory.or.kr"," 10:30~18:30( 入场截止至 18:00 )","周二~周日","周一(若遇韩国法定假日，则顺延至次日)","5号线 光化门站27号出口光化门方向200米   ","世宗• 忠武公故事展览馆景福宫光华门历史李舜臣纪念馆文化博物馆","无障碍坡道残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"26338","zh-CN","东大门历史馆常设展览馆重新开馆","100-197 首尔市中区乙支路7街2-1 ","04566 首尔市中区乙支路281 (乙支路7街 2-1) 东大门历史公园内","+82-2-2153-0200","+82-2-2034-0697","http://www.museum.seoul.kr/index.jsp","10:00~18:00","请在活动期间咨询活动相关工作人员","每周一 1月 1日","2号线 东大门历史文化公园站12号出口","首尔历史博物馆东大门站博物馆展会训练院与-下都监东大门历史馆参观文化遗产东大门历史文化公园","无障碍坡道残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"21476","zh-CN","乐天世界塔","138-240 首尔市松坡区新川洞29 ","05551 首尔松坡区奥林匹克路 300 (新川洞) ","+82-02-3213-5000","","https://www.lwt.co.kr/cn/main/main.do","其他设施请参照官网  ","","全年无休 ","2号线 蚕室站2号出口步行5分钟 8号线 蚕室站11号出口步行5分钟","乐天百货店123层乐天世界购物中心乐天世界塔蚕室展望台SEOUL SKY水族馆展望台","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"820","zh-CN","云岘宫","110-350 首尔市钟路区三一大路464  ","03131 首尔市钟路区三一大路464  ","+82-2-766-9090","+82-2-742-3900","http://unhyeongung.or.kr ","09:00 ~ 18:00 （最后入场 17:30 / 因应疫情缩短开放时间）","周二 ~ 周日","每周一(如周一为国家规定的公休日，当天开放)","3号线 安国站4号出口50米前    5号线 钟路3街站5号出口(安国站方向)300米前   ","首尔古宫约会地点云岘宫首尔景点首尔散步宗庙首尔旅游首尔行程首尔首尔古宫旅游韩国古宫","无障碍坡道残疾人洗手间"
"1899","zh-TW","光化門廣場"," 首爾特別市鐘路區世宗路 1-68"," 首爾市鐘路區世宗大路172 ","+82-2-120","","http://plaza.seoul.go.kr/gwanghwamun","24小時開放","星期一 ~ 星期日","","3號線景福宮站67號出口，外換銀行方向 5號線光化門站1號、2號、8號出口 1號線市廳站3號出口出來後，經過德壽宮之後往koreana酒店方向","世宗文化會館景福宮光化門站歷史李舜臣將軍光化門清溪川光化門廣場地標","無障礙坡道無障礙廁所"
"280","zh-TW","南山谷韓屋村","100-272 首爾中區筆洞2街 84-1 ","04626 首爾市中區退溪路34街28 ","+82-2-2261-0517","","https://www.hanokmaeul.or.kr/en","夏季(4月～10月)09:00~21:00 冬季(11月～3月)09:00~20:00  -傳統庭園開放時間 24小時開放","週二 - 週日","週一","3、4號線忠武路站3、4號出口步行10分鐘   ","首爾打卡景點首爾南山首爾約會景點首爾行程首爾人氣景點首爾旅行南山漫步路首爾景點首爾與孩子一起出遊南山公園南山谷韓屋村韓國韓屋景點","無障礙坡道無障礙廁所"
"1793","zh-TW","島山公園","135-120 首爾江南區新設洞 649-9","135-120 首爾市江南區島山大路45街20 ","+82-2-3423-6245","","","公園24小時開放 島山紀念館：每天 10:00~ 17:00","週一~週日","公園：全年無休 島山紀念館：週一、新年連休、中秋連休、聖誕節","3號線狎鷗亭站3號出口約500公尺(建議搭乘計程車) ","江南區島山公園紀念館歷史古蹟探訪安昌浩狎鷗亭","無障礙坡道無障礙廁所"
"279","zh-CN","南山谷韩屋村","100-272 首尔中区笔洞2街 ","04626 首尔市中区退溪路34街28 ","+82-2-2261-0517","","https://www.hanokmaeul.or.kr/en","夏季(4月~10月) 09:00~21:00 冬季(11月~3月) 09:00~20:00  -传统庭园开放时间 24小时开放","周二 - 周日","周一","34号线 忠武路站34号出口出来后步行10分钟    ","南山公园首尔与孩子一起出游首尔行程南山谷韩屋村首尔南山南山漫步路首尔旅行韩国韩屋景点首尔人气景点首尔打卡景点首尔景点首尔约会景点","无障碍坡道残疾人洗手间"
"76","zh-CN","南山首尔塔","140-022 首尔龙山区龙山洞2街 山 1-3 ","04340 首尔龙山区南山公园路 105 (龙山洞2街 YTN首尔塔) ","+82-2-3455-9277","","http://www.nseoultower.co.kr/","平日：12:00至21:00 周末/公休日：11:00至21:00  * 截止时间30分钟前可入场 * 餐厅的运营时间因各商店不同，详情可参考网站","","","3号线 东大入口站6号出口出来换乘2号公车在首尔塔下车    3号线 忠武路站2号出口出来换乘2号公车在首尔塔下车    6号线 梨泰院站4号出口出来换乘3号公车在首尔塔下车    ","首尔约会缆车夜景首尔夜景明洞首尔约会场所瞭望台N首尔塔首尔夜景名胜南山塔南山首尔塔南山塔瞭望台","无障碍坡道残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"78","zh-TW","南山首爾塔","140-022 首爾市龍山區龍山洞2街山1-3 ","04340 首爾市龍山區南山公園街105 ","+82-2-3455-9277","","http://www.seoultower.co.kr/cn/","平日:12:00至21:00 週末/公休日:11:00至21:00  * 截止時間30分鐘前可入場 * 餐廳的運營時間因各商店不同，詳情可參考網站","","","6號線梨泰院站4號出口，搭乘03號公車在首爾塔下車    3號線忠武路站2號出口，搭乘02號公車在首爾塔下車    3號線東大入口站6號出口，搭乘02號在首爾塔下車   ","纜車N首爾塔南山塔南山首爾塔夜景瞭望台首爾約會首爾夜景名勝明洞南山塔瞭望台首爾夜景首爾約會場所","殘疾人士服務台(租借輪椅等)無障礙坡道無障礙廁所電梯"
"5764","ja","国会議事堂","150-701 ソウル市永登浦区汝矣島洞1 国会議事堂","150-701 ソウル市ヨンドゥンポ(永登浦)区ウィサダンデロ1 (汝矣島洞)国会議事堂","+82-2-788-2114","+82-2-788-3664","http://korea.assembly.go.kr/","平日／9:00～17:00、土／9:00～16:00 日曜日、祝祭日、国会開院記念日(5/31)は休館 ※ 入場は閉館の1時間前まで","","","地下鉄9号線｢ククェウィサダン｣駅1番、6番出口","国会図書館韓国の政治政府機関国会議事堂ランドマーク議員会館","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"5766","zh-CN","国会议事堂","150-701 首尔市永登浦区汝矣岛洞1 ","150-701 首尔特别市永登浦区汝矣岛洞1号（议事堂大道1号国会议事堂） ","+82-2-788-2114","+82-2-788-3664","http://www.assembly.go.kr","09:00~18:00  (周六、周日 09:00~17:00) - 入场时间截至闭馆前1小时","周一~周六","每个月第2个和第4个周日、法院公休日、国会开馆纪念日(5月31日)","9号线 国会议事堂站16号出口","地标国会图书馆历史休闲国会议事堂汝义岛民主主义人权国会议事堂站国会","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"35532","ja","国立ハングル博物館"," ソウル市龍山区龍山洞6街168-6 ","04383 ソウル市ヨンサン(龍山)区ソビンゴロ139 (龍山洞6街)","+82-2-2124-6200","","https://www.hangeul.go.kr/lang/jp/","月曜日～日曜日","10:00 - 18:00","1月1日、お正月当日、お盆当日 ※ハングル図書館休館日は、土曜日、日曜日、祝日(ハングルの日を除く)","地下鉄4号線・京義中央線「イチョン」駅2番出口","世宗大王ハングル国立ハングル博物館ハングル博物館訓民正音","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"805","ja","国立中央博物館","140-797 ソウル市龍山区龍山洞6街168-6 ","04383 ソウル市ヨンサン(龍山)区ソビンゴロ137 (龍山洞6街)","+82-2-2077-9000","","http://www.museum.go.kr","月曜日、火曜日、木曜日、金曜日、日曜日 10:00~18:00 水曜日、土曜日 10:00~21:00 ※ 入館は閉館終了時間の30分前まで ","","1月1日、旧正月及び秋夕(旧暦8月15日)","地下鉄4号線/キョンイ・チュンアン線「イチョン」駅2番出口からヨンサン(龍山)家族公園方面へ150m","常設展示ソウル博物館国立中央博物館国立博物館龍山区博物館・記念館歴史","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
